商家,位置,房间型号,价格,一楼房间数量,联系方式,房间照片,,,,,,,,,,,,,
悦风小院,阳南溪生态廊道附近,双床、大床,淡季180-200，旺季360-500,3间,13769248024,,,,,,,,,,,,,,
大理MKS摩可沙·七又海景美宿,阳南溪生态廊道附近,亲子、家庭、双床、大床,亲子和家庭是368、双床和大床198,4间,19987208772,,,,,,,,,,,,,,
花石舍,生态廊道附近，大理市太和崇邑村环海西路附近,一室一厅,日租150-200，月租2000-2600,2间,段老板：13577265376,,,,,,,,,,,,,,
连赢宾馆,龙尾关，将军洞附近，大理市下关镇兴隆村105号,标间，套房,淡季100，旺季看情况定,4间（电梯房）,18213175038,,,,,,,,,,,,,,
腾达酒店,龙尾关，将军洞附近。太和街道兴隆村63号附2号,标间，三人间，双人,淡季100，旺季1000,4间,13987269142,,,,,,,,,,,,,,
锦彩智能影视酒店,龙尾关，将军洞附近。下关镇雪人路兴隆村52号。,大床，双人,淡季120，旺季几百,3间,13988761364,,,,,,,,,,,,,,
云兰居酒店,龙尾关，将军洞附近。嘉士伯大道清真巍山绝对牛北50米,大床，双人，套房,淡季70-100，旺季150-200,4间,18213356630,,,,,,,,,,,,,,
清如许民宿,喜洲古镇附近，喜洲镇市上街103号,大床，双人,淡季120-140，旺季300-400,3间,13887236773,,,,,,,,,,,,,,
樱花语客栈,喜洲古镇附近，喜洲镇市上街130号,大床，双人,淡季120-140，旺季300左右,2间,18087209180,,,,,,,,,,,,,,
锦霞苑客栈,喜洲古镇附近，喜洲镇城北村13号,大床，双人,淡季138-150，旺季300左右,2间,17708720903,,,,,,,,,,,,,,
慢度时光客栈,海舌公园附近，喜洲镇金圭寺村,大床，双人，套房,淡季120-198，旺季350左右,3间,18387256450,,,,,,,,,,,,,,
城市便捷酒店,大理州博物馆附近，大理市下关镇兴盛路兴民巷,大床，双人，,淡季229-299，旺季400-500左右,6间（电梯房）,19169097875,,,,,,,,,,,,,,
维多利酒店,大理州博物馆附近,大床,淡季90-150，旺季300左右,4间（电梯房）,陈经理：13108561001,,,,,,,,,,,,,,
柏洋海景酒店,大理州博物馆附近，兴盛大桥南边,海景大床，双人，,淡季240，旺季500左右,4间（电梯房）,13577889184,,,,,,,,,,,,,,
臻悦酒店,大理州博物馆附近，兴盛大桥南边,海景大床，双人，套房,淡季188，旺季300左右,5间（电梯房）,13988531500,,,,,,,,,,,,,,
梦之廊驿站,双廊古镇内,大床房，双床房，亲子房,112-182,4间,13404963747,,,,,,,,,,,,,,
夕上,双廊古镇内,大床房,1598-3550,6 - first floor,15398727785,,,,,,,,,,,,,,
名堂,双廊古镇内,大床房，双床房，青旅,72-173,4间,19187245318,,,,,,,,,,,,,,
大理海洋酒店,同大理海洋世界,双床，大床，亲子套房,480-1800（不同时段差距较大，以实际为准）,,0872-2527777,,,,,,,,,,,,,,